message_id,mrid,revision_number,event_start,event_end,publish_time,asset_id,asset_name,fuel_type,event_type,status,normal_capacity,unavailable_capacity,available_capacity,reason,raw_event,case_id,case_type,case_regime_group,case_max_price,case_min_price,case_avg_price,case_internal_driver_summary,case_api_from,case_api_to,materiality,event_start_dt,event_end_dt,case_api_from_dt,case_api_to_dt,strict_materiality,strict_relevance
107543,48X000000000001I-NGET-RMT-00035961,2,2022-09-30T22:13:28Z,2035-12-31T01:24:30Z,2020-02-27T07:07:21Z,T_DRAXX-5,DRAX,Fossil Hard coal,Production unavailability,UnavailabilitiesOfElectricityFacilities,645.0,645.0,0.0,Planned Outage,"{'id': 107543, 'dataset': 'REMIT', 'mrid': '48X000000000001I-NGET-RMT-00035961', 'revisionNumber': 2, 'publishTime': '2020-02-27T07:07:21Z', 'createdTime': '2020-02-27T07:07:21Z', 'messageType': 'UnavailabilitiesOfElectricityFacilities', 'messageHeading': 'REMIT INFORMATION', 'eventType': 'Production unavailability', 'unavailabilityType': 'Planned', 'participantId': 'DRAX', 'registrationCode': '48X000000000001I', 'assetId': 'T_DRAXX-5', 'assetType': 'Production', 'affectedUnit': 'DRAXX-5', 'affectedUnitEIC': '48W00000DRAXX-56', 'affectedArea': 'N', 'biddingZone': '10YGB----------A', 'fuelType': 'Fossil Hard coal', 'normalCapacity': 645.0, 'availableCapacity': 0.0, 'unavailableCapacity': 645.0, 'eventStatus': 'Dismissed', 'eventStartTime': '2022-09-30T22:13:28Z', 'eventEndTime': '2035-12-31T01:24:30Z', 'cause': 'Planned Outage'}",2025_case_01_jan_08_extreme_spike,extreme_positive_spike,jan_spike_stress,2900.0,112.0,983.3562,sudden_price_movement_check_internal_and_external_context,2025-01-08T08:00:00Z,2025-01-08T23:30:00Z,high,2022-09-30 22:13:28+00:00,2035-12-31 01:24:30+00:00,2025-01-08 08:00:00+00:00,2025-01-08 23:30:00+00:00,high,True
109577,48X000000000022A-ELXP-RMT-00146597,9,2022-07-04T01:30:00Z,2050-12-31T23:00:00Z,2022-07-03T18:54:42Z,T_HINB-8,BEGL001,Nuclear,Production unavailability,UnavailabilitiesOfElectricityFacilities,504.0,504.0,0.0,Maintenance,"{'id': 109577, 'dataset': 'REMIT', 'mrid': '48X000000000022A-ELXP-RMT-00146597', 'revisionNumber': 9, 'publishTime': '2022-07-03T18:54:42Z', 'createdTime': '2022-07-03T18:54:42Z', 'messageType': 'UnavailabilitiesOfElectricityFacilities', 'messageHeading': 'REMIT Event ID 36962', 'eventType': 'Production unavailability', 'unavailabilityType': 'Planned', 'participantId': 'BEGL001', 'registrationCode': '48X000000000022A', 'assetId': 'T_HINB-8', 'affectedUnit': 'T_HINB-8', 'affectedUnitEIC': '48W000000HINB-85', 'affectedArea': 'N', 'biddingZone': '10YGB----------A', 'fuelType': 'Nuclear', 'normalCapacity': 504.0, 'availableCapacity': 0.0, 'unavailableCapacity': 504.0, 'eventStatus': 'Active', 'eventStartTime': '2022-07-04T01:30:00Z', 'eventEndTime': '2050-12-31T23:00:00Z', 'cause': 'Maintenance', 'relatedInformation': '36962 : Scheduled closure date. Please refer to Other Market Messages on the Elexon website for further information. : De-load for maintenance activities : Scheduled closure date. Please refer to Other Market Messages on the Elexon website for further information.', 'outageProfile': [{'startTime': '2022-07-04T01:30:00Z', 'endTime': '2022-07-04T02:00:00Z', 'capacity': 465.0}, {'startTime': '2022-07-04T02:00:00Z', 'endTime': '2022-07-04T02:30:00Z', 'capacity': 428.0}, {'startTime': '2022-07-04T02:30:00Z', 'endTime': '2022-07-04T16:00:00Z', 'capacity': 420.0}, {'startTime': '2022-07-04T16:00:00Z', 'endTime': '2022-07-04T16:30:00Z', 'capacity': 398.0}, {'startTime': '2022-07-04T16:30:00Z', 'endTime': '2022-07-05T10:00:00Z', 'capacity': 370.0}, {'startTime': '2022-07-05T10:00:00Z', 'endTime': '2022-07-05T10:30:00Z', 'capacity': 367.0}, {'startTime': '2022-07-05T10:30:00Z', 'endTime': '2022-07-05T11:00:00Z', 'capacity': 295.0}, {'startTime': '2022-07-05T11:00:00Z', 'endTime': '2022-07-05T20:30:00Z', 'capacity': 274.0}, {'startTime': '2022-07-05T20:30:00Z', 'endTime': '2022-07-05T21:00:00Z', 'capacity': 265.0}, {'startTime': '2022-07-05T21:00:00Z', 'endTime': '2022-07-05T21:30:00Z', 'capacity': 188.0}, {'startTime': '2022-07-05T21:30:00Z', 'endTime': '2022-07-06T07:00:00Z', 'capacity': 177.0}, {'startTime': '2022-07-06T07:00:00Z', 'endTime': '2022-07-06T07:30:00Z', 'capacity': 159.0}, {'startTime': '2022-07-06T07:30:00Z', 'endTime': '2022-07-06T08:30:00Z', 'capacity': 129.0}, {'startTime': '2022-07-06T08:30:00Z', 'endTime': '2022-07-06T09:00:00Z', 'capacity': 118.0}, {'startTime': '2022-07-06T09:00:00Z', 'endTime': '2050-12-31T23:00:00Z', 'capacity': 0.0}]}",2025_case_01_jan_08_extreme_spike,extreme_positive_spike,jan_spike_stress,2900.0,112.0,983.3562,sudden_price_movement_check_internal_and_external_context,2025-01-08T08:00:00Z,2025-01-08T23:30:00Z,high,2022-07-04 01:30:00+00:00,2050-12-31 23:00:00+00:00,2025-01-08 08:00:00+00:00,2025-01-08 23:30:00+00:00,high,True
111363,48X000000000001I-NGET-RMT-00035962,2,2022-09-30T22:13:28Z,2035-12-31T01:24:30Z,2020-02-27T07:08:26Z,T_DRAXX-6,DRAX,Fossil Hard coal,Production unavailability,UnavailabilitiesOfElectricityFacilities,645.0,645.0,0.0,Planned Outage,"{'id': 111363, 'dataset': 'REMIT', 'mrid': '48X000000000001I-NGET-RMT-00035962', 'revisionNumber': 2, 'publishTime': '2020-02-27T07:08:26Z', 'createdTime': '2020-02-27T07:08:26Z', 'messageType': 'UnavailabilitiesOfElectricityFacilities', 'messageHeading': 'REMIT INFORMATION', 'eventType': 'Production unavailability', 'unavailabilityType': 'Planned', 'participantId': 'DRAX', 'registrationCode': '48X000000000001I', 'assetId': 'T_DRAXX-6', 'assetType': 'Production', 'affectedUnit': 'DRAXX-6', 'affectedUnitEIC': '48W00000DRAXX-64', 'affectedArea': 'N', 'biddingZone': '10YGB----------A', 'fuelType': 'Fossil Hard coal', 'normalCapacity': 645.0, 'availableCapacity': 0.0, 'unavailableCapacity': 645.0, 'eventStatus': 'Dismissed', 'eventStartTime': '2022-09-30T22:13:28Z', 'eventEndTime': '2035-12-31T01:24:30Z', 'cause': 'Planned Outage'}",2025_case_01_jan_08_extreme_spike,extreme_positive_spike,jan_spike_stress,2900.0,112.0,983.3562,sudden_price_movement_check_internal_and_external_context,2025-01-08T08:00:00Z,2025-01-08T23:30:00Z,high,2022-09-30 22:13:28+00:00,2035-12-31 01:24:30+00:00,2025-01-08 08:00:00+00:00,2025-01-08 23:30:00+00:00,high,True
112186,48X000000000022A-ELXP-RMT-00147476,7,2022-07-30T04:30:00Z,2050-12-31T23:00:00Z,2022-07-20T09:54:04Z,T_HINB-7,BEGL001,Nuclear,Production unavailability,UnavailabilitiesOfElectricityFacilities,504.0,504.0,0.0,Statutory,"{'id': 112186, 'dataset': 'REMIT', 'mrid': '48X000000000022A-ELXP-RMT-00147476', 'revisionNumber': 7, 'publishTime': '2022-07-20T09:54:04Z', 'createdTime': '2022-07-20T09:54:04Z', 'messageType': 'UnavailabilitiesOfElectricityFacilities', 'messageHeading': 'REMIT Event ID 43575', 'eventType': 'Production unavailability', 'unavailabilityType': 'Planned', 'participantId': 'BEGL001', 'registrationCode': '48X000000000022A', 'assetId': 'T_HINB-7', 'affectedUnit': 'T_HINB-7', 'affectedUnitEIC': '48W000000HINB-77', 'affectedArea': 'N', 'biddingZone': '10YGB----------A', 'fuelType': 'Nuclear', 'normalCapacity': 504.0, 'availableCapacity': 0.0, 'unavailableCapacity': 504.0, 'eventStatus': 'Active', 'eventStartTime': '2022-07-30T04:30:00Z', 'eventEndTime': '2050-12-31T23:00:00Z', 'cause': 'Statutory', 'relatedInformation': '43575 : Statutory Outage', 'outageProfile': [{'startTime': '2022-07-30T04:30:00Z', 'endTime': '2022-07-30T05:00:00Z', 'capacity': 446.0}, {'startTime': '2022-07-30T05:00:00Z', 'endTime': '2022-07-30T16:30:00Z', 'capacity': 419.0}, {'startTime': '2022-07-30T16:30:00Z', 'endTime': '2022-07-30T17:00:00Z', 'capacity': 416.0}, {'startTime': '2022-07-30T17:00:00Z', 'endTime': '2022-07-30T17:30:00Z', 'capacity': 372.0}, {'startTime': '2022-07-30T17:30:00Z', 'endTime': '2022-07-31T09:00:00Z', 'capacity': 370.0}, {'startTime': '2022-07-31T09:00:00Z', 'endTime': '2022-07-31T09:30:00Z', 'capacity': 330.0}, {'startTime': '2022-07-31T09:30:00Z', 'endTime': '2022-07-31T19:30:00Z', 'capacity': 274.0}, {'startTime': '2022-07-31T19:30:00Z', 'endTime': '2022-07-31T20:00:00Z', 'capacity': 217.0}, {'startTime': '2022-07-31T20:00:00Z', 'endTime': '2022-08-01T07:30:00Z', 'capacity': 177.0}, {'startTime': '2022-08-01T07:30:00Z', 'endTime': '2022-08-01T08:00:00Z', 'capacity': 139.0}, {'startTime': '2022-08-01T08:00:00Z', 'endTime': '2022-08-01T08:30:00Z', 'capacity': 129.0}, {'startTime': '2022-08-01T08:30:00Z', 'endTime': '2022-08-01T09:00:00Z', 'capacity': 118.0}, {'startTime': '2022-08-01T09:00:00Z', 'endTime': '2050-12-31T23:00:00Z', 'capacity': 0.0}]}",2025_case_01_jan_08_extreme_spike,extreme_positive_spike,jan_spike_stress,2900.0,112.0,983.3562,sudden_price_movement_check_internal_and_external_context,2025-01-08T08:00:00Z,2025-01-08T23:30:00Z,high,2022-07-30 04:30:00+00:00,2050-12-31 23:00:00+00:00,2025-01-08 08:00:00+00:00,2025-01-08 23:30:00+00:00,high,True
122418,48X000000000022A-ELXP-RMT-00147616,2,2025-01-07T21:30:00Z,2025-01-12T21:00:00Z,2022-04-12T11:27:07Z,T_TORN-2,BEGL001,Nuclear,Production unavailability,UnavailabilitiesOfElectricityFacilities,640.0,330.0,310.0,LPR,"{'id': 122418, 'dataset': 'REMIT', 'mrid': '48X000000000022A-ELXP-RMT-00147616', 'revisionNumber': 2, 'publishTime': '2022-04-12T11:27:07Z', 'createdTime': '2022-04-12T11:27:07Z', 'messageType': 'UnavailabilitiesOfElectricityFacilities', 'messageHeading': 'REMIT Event ID 45214', 'eventType': 'Production unavailability', 'unavailabilityType': 'Planned', 'participantId': 'BEGL001', 'registrationCode': '48X000000000022A', 'assetId': 'T_TORN-2', 'affectedUnit': 'T_TORN-2', 'affectedUnitEIC': '48W000000TORN-2E', 'affectedArea': 'N', 'biddingZone': '10YGB----------A', 'fuelType': 'Nuclear', 'normalCapacity': 640.0, 'availableCapacity': 310.0, 'unavailableCapacity': 330.0, 'eventStatus': 'Dismissed', 'eventStartTime': '2025-01-07T21:30:00Z', 'eventEndTime': '2025-01-12T21:00:00Z', 'cause': 'LPR', 'relatedInformation': '45214 : De-load for low-power refuelling operations', 'outageProfile': [{'startTime': '2025-01-07T21:30:00Z', 'endTime': '2025-01-07T22:00:00Z', 'capacity': 562.0}, {'startTime': '2025-01-07T22:00:00Z', 'endTime': '2025-01-08T10:00:00Z', 'capacity': 487.0}, {'startTime': '2025-01-08T10:00:00Z', 'endTime': '2025-01-08T10:30:00Z', 'capacity': 398.0}, {'startTime': '2025-01-08T10:30:00Z', 'endTime': '2025-01-12T20:00:00Z', 'capacity': 310.0}, {'startTime': '2025-01-12T20:00:00Z', 'endTime': '2025-01-12T20:30:00Z', 'capacity': 422.0}, {'startTime': '2025-01-12T20:30:00Z', 'endTime': '2025-01-12T21:00:00Z', 'capacity': 586.0}]}",2025_case_01_jan_08_extreme_spike,extreme_positive_spike,jan_spike_stress,2900.0,112.0,983.3562,sudden_price_movement_check_internal_and_external_context,2025-01-08T08:00:00Z,2025-01-08T23:30:00Z,medium,2025-01-07 21:30:00+00:00,2025-01-12 21:00:00+00:00,2025-01-08 08:00:00+00:00,2025-01-08 23:30:00+00:00,medium,True
136932,48X000000000022A-ELXP-RMT-00145414,4,2022-09-30T23:00:00Z,2025-02-05T23:00:00Z,2022-01-11T13:16:34Z,T_WBUPS-1,WBURTONB,Fossil Hard coal,Production unavailability,UnavailabilitiesOfElectricityFacilities,480.0,480.0,0.0,Operational,"{'id': 136932, 'dataset': 'REMIT', 'mrid': '48X000000000022A-ELXP-RMT-00145414', 'revisionNumber': 4, 'publishTime': '2022-01-11T13:16:34Z', 'createdTime': '2022-01-11T13:16:34Z', 'messageType': 'UnavailabilitiesOfElectricityFacilities', 'messageHeading': 'REMIT Event ID 31338', 'eventType': 'Production unavailability', 'unavailabilityType': 'Planned', 'participantId': 'WBURTONB', 'registrationCode': '48X000000000022A', 'assetId': 'T_WBUPS-1', 'affectedUnit': 'T_WBUPS-1', 'affectedUnitEIC': '48W00000WBUPS-1P', 'affectedArea': 'N', 'biddingZone': '10YGB----------A', 'fuelType': 'Fossil Hard coal', 'normalCapacity': 480.0, 'availableCapacity': 0.0, 'unavailableCapacity': 480.0, 'eventStatus': 'Dismissed', 'eventStartTime': '2022-09-30T23:00:00Z', 'eventEndTime': '2025-02-05T23:00:00Z', 'cause': 'Operational', 'relatedInformation': '31338 : De-load for operational reasons', 'outageProfile': [{'startTime': '2022-09-30T23:00:00Z', 'endTime': '2025-02-05T23:00:00Z', 'capacity': 0.0}]}",2025_case_01_jan_08_extreme_spike,extreme_positive_spike,jan_spike_stress,2900.0,112.0,983.3562,sudden_price_movement_check_internal_and_external_context,2025-01-08T08:00:00Z,2025-01-08T23:30:00Z,medium,2022-09-30 23:00:00+00:00,2025-02-05 23:00:00+00:00,2025-01-08 08:00:00+00:00,2025-01-08 23:30:00+00:00,medium,True
137516,48X000000000022A-ELXP-RMT-00147345,6,2022-01-07T00:30:00Z,2050-12-31T23:00:00Z,2021-12-29T11:45:02Z,T_HUNB-8,BEGL001,Nuclear,Production unavailability,UnavailabilitiesOfElectricityFacilities,508.0,508.0,0.0,Operational,"{'id': 137516, 'dataset': 'REMIT', 'mrid': '48X000000000022A-ELXP-RMT-00147345', 'revisionNumber': 6, 'publishTime': '2021-12-29T11:45:02Z', 'createdTime': '2021-12-29T11:45:02Z', 'messageType': 'UnavailabilitiesOfElectricityFacilities', 'messageHeading': 'REMIT Event ID 42325', 'eventType': 'Production unavailability', 'unavailabilityType': 'Planned', 'participantId': 'BEGL001', 'registrationCode': '48X000000000022A', 'assetId': 'T_HUNB-8', 'affectedUnit': 'T_HUNB-8', 'affectedUnitEIC': '48W000000HUNB-87', 'affectedArea': 'N', 'biddingZone': '10YGB----------A', 'fuelType': 'Nuclear', 'normalCapacity': 508.0, 'availableCapacity': 0.0, 'unavailableCapacity': 508.0, 'eventStatus': 'Active', 'eventStartTime': '2022-01-07T00:30:00Z', 'eventEndTime': '2050-12-31T23:00:00Z', 'cause': 'Operational', 'relatedInformation': '42325 : Scheduled closure date. Please refer to Other Market Messages on the Elexon website for further information. : De-load for operational reasons : Scheduled closure date. Please refer to Other Market Messages on the Elexon website for further information.', 'outageProfile': [{'startTime': '2022-01-07T00:30:00Z', 'endTime': '2022-01-07T01:00:00Z', 'capacity': 425.0}, {'startTime': '2022-01-07T01:00:00Z', 'endTime': '2022-01-07T10:30:00Z', 'capacity': 350.0}, {'startTime': '2022-01-07T10:30:00Z', 'endTime': '2022-01-07T11:00:00Z', 'capacity': 276.0}, {'startTime': '2022-01-07T11:00:00Z', 'endTime': '2022-01-07T11:30:00Z', 'capacity': 148.0}, {'startTime': '2022-01-07T11:30:00Z', 'endTime': '2022-01-07T12:00:00Z', 'capacity': 128.0}, {'startTime': '2022-01-07T12:00:00Z', 'endTime': '2050-12-31T23:00:00Z', 'capacity': 0.0}]}",2025_case_01_jan_08_extreme_spike,extreme_positive_spike,jan_spike_stress,2900.0,112.0,983.3562,sudden_price_movement_check_internal_and_external_context,2025-01-08T08:00:00Z,2025-01-08T23:30:00Z,high,2022-01-07 00:30:00+00:00,2050-12-31 23:00:00+00:00,2025-01-08 08:00:00+00:00,2025-01-08 23:30:00+00:00,high,True
144772,48X000000000022A-ELXP-RMT-00147503,4,2021-11-25T03:00:00Z,2050-12-31T23:00:00Z,2021-11-25T00:05:54Z,T_HUNB-7,BEGL001,Nuclear,Production unavailability,UnavailabilitiesOfElectricityFacilities,508.0,508.0,0.0,Maintenance,"{'id': 144772, 'dataset': 'REMIT', 'mrid': '48X000000000022A-ELXP-RMT-00147503', 'revisionNumber': 4, 'publishTime': '2021-11-25T00:05:54Z', 'createdTime': '2021-11-25T00:05:54Z', 'messageType': 'UnavailabilitiesOfElectricityFacilities', 'messageHeading': 'REMIT Event ID 43898', 'eventType': 'Production unavailability', 'unavailabilityType': 'Planned', 'participantId': 'BEGL001', 'registrationCode': '48X000000000022A', 'assetId': 'T_HUNB-7', 'affectedUnit': 'T_HUNB-7', 'affectedUnitEIC': '48W000000HUNB-79', 'affectedArea': 'N', 'biddingZone': '10YGB----------A', 'fuelType': 'Nuclear', 'normalCapacity': 508.0, 'availableCapacity': 0.0, 'unavailableCapacity': 508.0, 'eventStatus': 'Active', 'eventStartTime': '2021-11-25T03:00:00Z', 'eventEndTime': '2050-12-31T23:00:00Z', 'cause': 'Maintenance', 'relatedInformation': '43898 : De-load for maintenance activities', 'outageProfile': [{'startTime': '2021-11-25T03:00:00Z', 'endTime': '2021-11-25T03:30:00Z', 'capacity': 464.0}, {'startTime': '2021-11-25T03:30:00Z', 'endTime': '2021-11-25T11:30:00Z', 'capacity': 430.0}, {'startTime': '2021-11-25T11:30:00Z', 'endTime': '2021-11-25T12:00:00Z', 'capacity': 390.0}, {'startTime': '2021-11-25T12:00:00Z', 'endTime': '2021-11-26T06:00:00Z', 'capacity': 350.0}, {'startTime': '2021-11-26T06:00:00Z', 'endTime': '2021-11-26T06:30:00Z', 'capacity': 295.0}, {'startTime': '2021-11-26T06:30:00Z', 'endTime': '2021-11-26T07:00:00Z', 'capacity': 185.0}, {'startTime': '2021-11-26T07:00:00Z', 'endTime': '2021-11-26T11:30:00Z', 'capacity': 130.0}, {'startTime': '2021-11-26T11:30:00Z', 'endTime': '2021-11-26T12:00:00Z', 'capacity': 112.0}, {'startTime': '2021-11-26T12:00:00Z', 'endTime': '2050-12-31T23:00:00Z', 'capacity': 0.0}]}",2025_case_01_jan_08_extreme_spike,extreme_positive_spike,jan_spike_stress,2900.0,112.0,983.3562,sudden_price_movement_check_internal_and_external_context,2025-01-08T08:00:00Z,2025-01-08T23:30:00Z,high,2021-11-25 03:00:00+00:00,2050-12-31 23:00:00+00:00,2025-01-08 08:00:00+00:00,2025-01-08 23:30:00+00:00,high,True
150634,48X000000000022A-ELXP-RMT-00147492,43,2021-08-17T12:30:00Z,2025-02-05T23:00:00Z,2021-08-17T13:01:52Z,T_WBUPS-4,WBURTONB,Fossil Hard coal,Production unavailability,UnavailabilitiesOfElectricityFacilities,480.0,480.0,0.0,Maintenance,"{'id': 150634, 'dataset': 'REMIT', 'mrid': '48X000000000022A-ELXP-RMT-00147492', 'revisionNumber': 43, 'publishTime': '2021-08-17T13:01:52Z', 'createdTime': '2021-08-17T13:01:52Z', 'messageType': 'UnavailabilitiesOfElectricityFacilities', 'messageHeading': 'REMIT Event ID 43707', 'eventType': 'Production unavailability', 'unavailabilityType': 'Planned', 'participantId': 'WBURTONB', 'registrationCode': '48X000000000022A', 'assetId': 'T_WBUPS-4', 'affectedUnit': 'T_WBUPS-4', 'affectedUnitEIC': '48W00000WBUPS-4J', 'affectedArea': 'N', 'biddingZone': '10YGB----------A', 'fuelType': 'Fossil Hard coal', 'normalCapacity': 480.0, 'availableCapacity': 0.0, 'unavailableCapacity': 480.0, 'eventStatus': 'Active', 'eventStartTime': '2021-08-17T12:30:00Z', 'eventEndTime': '2025-02-05T23:00:00Z', 'cause': 'Maintenance', 'relatedInformation': '43707 : De-load for maintenance activities', 'outageProfile': [{'startTime': '2021-08-17T12:30:00Z', 'endTime': '2025-02-05T23:00:00Z', 'capacity': 0.0}]}",2025_case_01_jan_08_extreme_spike,extreme_positive_spike,jan_spike_stress,2900.0,112.0,983.3562,sudden_price_movement_check_internal_and_external_context,2025-01-08T08:00:00Z,2025-01-08T23:30:00Z,medium,2021-08-17 12:30:00+00:00,2025-02-05 23:00:00+00:00,2025-01-08 08:00:00+00:00,2025-01-08 23:30:00+00:00,medium,True
150940,48X000000000022A-ELXP-RMT-00145897,4,2021-09-30T22:30:00Z,2025-02-05T23:00:00Z,2021-08-17T13:01:51Z,T_WBUPS-4,WBURTONB,Fossil Hard coal,Production unavailability,UnavailabilitiesOfElectricityFacilities,480.0,480.0,0.0,Operational,"{'id': 150940, 'dataset': 'REMIT', 'mrid': '48X000000000022A-ELXP-RMT-00145897', 'revisionNumber': 4, 'publishTime': '2021-08-17T13:01:51Z', 'createdTime': '2021-08-17T13:01:51Z', 'messageType': 'UnavailabilitiesOfElectricityFacilities', 'messageHeading': 'REMIT Event ID 32882', 'eventType': 'Production unavailability', 'unavailabilityType': 'Planned', 'participantId': 'WBURTONB', 'registrationCode': '48X000000000022A', 'assetId': 'T_WBUPS-4', 'affectedUnit': 'T_WBUPS-4', 'affectedUnitEIC': '48W00000WBUPS-4J', 'affectedArea': 'N', 'biddingZone': '10YGB----------A', 'fuelType': 'Fossil Hard coal', 'normalCapacity': 480.0, 'availableCapacity': 0.0, 'unavailableCapacity': 480.0, 'eventStatus': 'Dismissed', 'eventStartTime': '2021-09-30T22:30:00Z', 'eventEndTime': '2025-02-05T23:00:00Z', 'cause': 'Operational', 'relatedInformation': '32882 : De-load for operational reasons', 'outageProfile': [{'startTime': '2021-09-30T22:30:00Z', 'endTime': '2021-09-30T23:00:00Z', 'capacity': 464.0}, {'startTime': '2021-09-30T23:00:00Z', 'endTime': '2025-02-05T23:00:00Z', 'capacity': 0.0}]}",2025_case_01_jan_08_extreme_spike,extreme_positive_spike,jan_spike_stress,2900.0,112.0,983.3562,sudden_price_movement_check_internal_and_external_context,2025-01-08T08:00:00Z,2025-01-08T23:30:00Z,medium,2021-09-30 22:30:00+00:00,2025-02-05 23:00:00+00:00,2025-01-08 08:00:00+00:00,2025-01-08 23:30:00+00:00,medium,True
151788,48X000000000022A-ELXP-RMT-00147428,34,2021-08-17T12:30:00Z,2025-02-05T23:00:00Z,2021-08-17T13:07:42Z,T_WBUPS-3,WBURTONB,Fossil Hard coal,Production unavailability,UnavailabilitiesOfElectricityFacilities,492.0,492.0,0.0,Operational,"{'id': 151788, 'dataset': 'REMIT', 'mrid': '48X000000000022A-ELXP-RMT-00147428', 'revisionNumber': 34, 'publishTime': '2021-08-17T13:07:42Z', 'createdTime': '2021-08-17T13:07:42Z', 'messageType': 'UnavailabilitiesOfElectricityFacilities', 'messageHeading': 'REMIT Event ID 43121', 'eventType': 'Production unavailability', 'unavailabilityType': 'Planned', 'participantId': 'WBURTONB', 'registrationCode': '48X000000000022A', 'assetId': 'T_WBUPS-3', 'affectedUnit': 'T_WBUPS-3', 'affectedUnitEIC': '48W00000WBUPS-3L', 'affectedArea': 'N', 'biddingZone': '10YGB----------A', 'fuelType': 'Fossil Hard coal', 'normalCapacity': 492.0, 'availableCapacity': 0.0, 'unavailableCapacity': 492.0, 'eventStatus': 'Active', 'eventStartTime': '2021-08-17T12:30:00Z', 'eventEndTime': '2025-02-05T23:00:00Z', 'cause': 'Operational', 'relatedInformation': '43121 : De-load for operational reasons', 'outageProfile': [{'startTime': '2021-08-17T12:30:00Z', 'endTime': '2025-02-05T23:00:00Z', 'capacity': 0.0}]}",2025_case_01_jan_08_extreme_spike,extreme_positive_spike,jan_spike_stress,2900.0,112.0,983.3562,sudden_price_movement_check_internal_and_external_context,2025-01-08T08:00:00Z,2025-01-08T23:30:00Z,medium,2021-08-17 12:30:00+00:00,2025-02-05 23:00:00+00:00,2025-01-08 08:00:00+00:00,2025-01-08 23:30:00+00:00,medium,True
153542,48X000000000022A-ELXP-RMT-00145422,3,2021-09-30T23:00:00Z,2025-02-05T23:00:00Z,2021-08-17T13:07:42Z,T_WBUPS-3,WBURTONB,Fossil Hard coal,Production unavailability,UnavailabilitiesOfElectricityFacilities,492.0,492.0,0.0,Operational,"{'id': 153542, 'dataset': 'REMIT', 'mrid': '48X000000000022A-ELXP-RMT-00145422', 'revisionNumber': 3, 'publishTime': '2021-08-17T13:07:42Z', 'createdTime': '2021-08-17T13:07:42Z', 'messageType': 'UnavailabilitiesOfElectricityFacilities', 'messageHeading': 'REMIT Event ID 31346', 'eventType': 'Production unavailability', 'unavailabilityType': 'Planned', 'participantId': 'WBURTONB', 'registrationCode': '48X000000000022A', 'assetId': 'T_WBUPS-3', 'affectedUnit': 'T_WBUPS-3', 'affectedUnitEIC': '48W00000WBUPS-3L', 'affectedArea': 'N', 'biddingZone': '10YGB----------A', 'fuelType': 'Fossil Hard coal', 'normalCapacity': 492.0, 'availableCapacity': 0.0, 'unavailableCapacity': 492.0, 'eventStatus': 'Dismissed', 'eventStartTime': '2021-09-30T23:00:00Z', 'eventEndTime': '2025-02-05T23:00:00Z', 'cause': 'Operational', 'relatedInformation': '31346 : De-load for operational reasons', 'outageProfile': [{'startTime': '2021-09-30T23:00:00Z', 'endTime': '2025-02-05T23:00:00Z', 'capacity': 0.0}]}",2025_case_01_jan_08_extreme_spike,extreme_positive_spike,jan_spike_stress,2900.0,112.0,983.3562,sudden_price_movement_check_internal_and_external_context,2025-01-08T08:00:00Z,2025-01-08T23:30:00Z,medium,2021-09-30 23:00:00+00:00,2025-02-05 23:00:00+00:00,2025-01-08 08:00:00+00:00,2025-01-08 23:30:00+00:00,medium,True
159845,48X000000000022A-ELXP-RMT-00146313,15,2019-09-11T11:00:00Z,2050-12-31T23:00:00Z,2021-06-08T09:36:42Z,T_DNGB22,BEGL001,Nuclear,Production unavailability,UnavailabilitiesOfElectricityFacilities,550.0,550.0,0.0,Maintenance,"{'id': 159845, 'dataset': 'REMIT', 'mrid': '48X000000000022A-ELXP-RMT-00146313', 'revisionNumber': 15, 'publishTime': '2021-06-08T09:36:42Z', 'createdTime': '2021-06-08T09:36:42Z', 'messageType': 'UnavailabilitiesOfElectricityFacilities', 'messageHeading': 'REMIT Event ID 35319', 'eventType': 'Production unavailability', 'unavailabilityType': 'Planned', 'participantId': 'BEGL001', 'registrationCode': '48X000000000022A', 'assetId': 'T_DNGB22', 'affectedUnit': 'T_DNGB22', 'affectedUnitEIC': '48W000000DNGB224', 'affectedArea': 'N', 'biddingZone': '10YGB----------A', 'fuelType': 'Nuclear', 'normalCapacity': 550.0, 'availableCapacity': 0.0, 'unavailableCapacity': 550.0, 'eventStatus': 'Active', 'eventStartTime': '2019-09-11T11:00:00Z', 'eventEndTime': '2050-12-31T23:00:00Z', 'cause': 'Maintenance', 'relatedInformation': '35319 : De-load for maintenance activities', 'outageProfile': [{'startTime': '2019-09-11T11:00:00Z', 'endTime': '2050-12-31T23:00:00Z', 'capacity': 0.0}]}",2025_case_01_jan_08_extreme_spike,extreme_positive_spike,jan_spike_stress,2900.0,112.0,983.3562,sudden_price_movement_check_internal_and_external_context,2025-01-08T08:00:00Z,2025-01-08T23:30:00Z,high,2019-09-11 11:00:00+00:00,2050-12-31 23:00:00+00:00,2025-01-08 08:00:00+00:00,2025-01-08 23:30:00+00:00,high,True
